索引	类别	原始问	英语	分词
3969	life-insurance	如何计算人寿保险费？	How  Is  A  Life  Insurance  Premium  Calculated?	如何 计算 人寿保险 费
3970	medicare-insurance	医疗保险是小学还是中级保险？	Is  Medicare  Primary  Or  Secondary  Insurance?	医疗保险 是 小学 还是 中级 保险
3971	health-insurance	我可以给我的保姆加上我的健康保险吗？	Can  I  Add  My  Nanny  To  My  Health  Insurance?	我 可以 给 我 保姆 加上 我 健康 保险
3972	life-insurance	关于如何支付定期人寿保险？	About  How  Much  Should  I  Pay  For  Term  Life  Insurance?	关于 如何 支付 定期 人寿保险
3973	home-insurance	房主多少保险一个月？	How  Much  Is  Homeowners  Insurance  A  Month?	房主 多少 保险 一个 月
3974	retirement-plans	如何实现退休计划？	How  To  Come  Up  With  A  Retirement  Plan?	如何 实现 退休 计划
3975	medicare-insurance	美国的医疗保险是什么？	What  Is  Medicare  In  America?	美国 医疗保险 是 什么
3976	auto-insurance	汽车保险是否建立您的信用？	Does  Auto  Insurance  Build  Your  Credit?	汽车保险 是否 建立 您 信用
3977	life-insurance	如何存在人寿保险？	How  To  Find  If  A  Life  Insurance  Policy  Exists?	如何 存在 人寿保险
3978	auto-insurance	汽车保险多久？	How  Long  Does  Auto  Insurance  Last?	汽车保险 多久
3979	medicare-insurance	2013年医疗保险B级保费多少？	How  Much  Is  Medicare  Part  B  Premium  For  2013?	2013年 医疗保险 B 级 保费 多少
3980	medicare-insurance	医疗保险D部分有哪些药物？	What  Drugs  Does  Medicare  Part  D  Cover?	医疗保险 D 部分 有 哪些 药物
3981	life-insurance	为什么要有人寿保险？	Why  Should  I  Have  A  Life  Insurance?	为什么 要 有 人寿保险
3982	life-insurance	什么是UL人寿保险？	What  Is  Term  UL  Life  Insurance?	什么 是 UL 人寿保险
3983	health-insurance	什么是传统赔偿健康保险？	What  Is  Traditional  Indemnity  Health  Insurance?	什么 是 传统 赔偿 健康 保险
3984	renters-insurance	你可以合法要求租金保险吗？	Can  You  Legally  Require  Renters  Insurance?	你 可以 合法 要求 租金 保险
3985	renters-insurance	为什么公寓大楼需要租金保险？	Why  Would  An  Apartment  Complex  Require  Renters  Insurance?	为什么 公寓 大楼 需要 租金 保险
3986	retirement-plans	如果我关闭我的401K会发生什么？	What  Would  Happen  If  I  Close  My  401K?	如果 我 关闭 我 401 K 会 发生 什么
3987	retirement-plans	你需要什么计划退休？	What  Do  You  Need  To  Plan  For  Retirement?	你 需要 什么 计划 退休
3988	medicare-insurance	医疗保险覆盖Zyban？	Does  Medicare  Cover  Zyban?	医疗保险 覆盖 Zyban
3989	health-insurance	健康保险意味着什么？	What  Does  A  Premium  Mean  In  Health  Insurance?	健康 保险 意味着 什么
3990	annuities	什么是固定收入年金？	What  Are  Fixed  Income  Annuities?	什么 是 固定收入 年金
3991	life-insurance	蓝十字蓝盾提供人寿保险？	Does  Blue  Cross  Blue  Shield  Offer  Life  Insurance?	蓝 十字 蓝盾 提供 人寿保险
3992	health-insurance	保险对医疗保健的供求有何影响？	What  Impact  Does  Insurance  Have  On  Supply  And  Demand  In  Health  Care?	保险 对 医疗保健 供求 有 何 影响
3993	life-insurance	哥伦布骑士人寿保险好吗？	Is  Knights  Of  Columbus  Life  Insurance  Good?	哥伦布 骑士 人寿保险 好
3994	life-insurance	什么是修改期限人寿保险？	What  Is  Modified  Term  Life  Insurance?	什么 是 修改 期限 人寿保险
3995	home-insurance	如何成为家庭保险经纪人？	How  To  Become  A  Home  Insurance  Broker?	如何 成为 家庭 保险 经纪人
3996	medicare-insurance	有多少Medigap计划？	How  Many  Medigap  Plans  Are  There?	有 多少 Medigap 计划
3997	home-insurance	你可以扣除您的税收上的家庭保险费吗？	Can  You  Deduct  Home  Insurance  Premiums  On  Your  Taxes?	你 可以 扣除 您 税收 上 家庭 保险费
3998	home-insurance	如果雪落在我的屋顶和我的甲板上，它的崩溃是否涵盖？	If  Snow  Falls  Off  My  Roof  And  On  My  Deck  And  It  Collapses  Is  It  Covered?	如果 雪落 在 我 屋顶 和 我 甲板 上 它 崩溃 是否 涵盖
3999	life-insurance	为什么要拒​​绝人寿保险？	Why  Would  I  Be  Declined  For  Life  Insurance?	为什么 要 拒 ​​ 绝 人寿保险
4000	retirement-plans	什么是混合退休计划？	What  Is  A  Hybrid  Retirement  Plan?	什么 是 混合 退休 计划
4001	home-insurance	房主保险是否涵盖人身伤害？	Does  Homeowners  Insurance  Cover  Personal  Injury?	房主 保险 是否 涵盖 人身 伤害
4002	auto-insurance	我们可以免费获得汽车保险吗？	Can  We  Get  Auto  Insurance  Without  A  Car?	我们 可以 免费 获得 汽车保险
4003	home-insurance	需要多少房主保险？	How  Much  Homeowners  Insurance  Is  Required?	需要 多少 房主 保险
4004	medicare-insurance	Medigap与C部分相同吗？	Is  Medigap  The  Same  As  Part  C?	Medigap 与 C 部分 相同
4005	health-insurance	没有健康保险是非法的吗？	Is  It  Illegal  To  Be  Without  Health  Insurance?	没有 健康 保险 是 非法
4006	life-insurance	为什么选择人寿保险？	Why  Choose  Universal  Life  Insurance?	为什么 选择 人寿保险
4007	health-insurance	健康保险政策如何运作？	How  Does  A  Health  Insurance  Policy  Work?	健康 保险 政策 如何 运作
4008	disability-insurance	什么是国家批准的残疾保险自愿计划？	What  Is  A  State  Approved  Voluntary  Plan  For  Disability  Insurance?	什么 是 国家 批准 残疾 保险 自愿 计划
4009	health-insurance	什么是孩子最好的健康保险？	What  Is  The  Best  Health  Insurance  For  Kids?	什么 是 孩子 最好 健康 保险
4010	medicare-insurance	Obamacare做医疗保险吗？	Does  Obamacare  Do  Away  With  Medicare?	Obamacare 做 医疗保险
4011	life-insurance	人寿保险是什么？	What  Is  Solvency  Margin  In  Life  Insurance?	人寿保险 是 什么
4012	medicare-insurance	2013年Medigap保险费用是多少？	What  Is  The  Cost  Of  Medigap  Insurance  In  2013?	2013年 Medigap 保险费用 是 多少
4013	health-insurance	不能因健康保险而受到惩罚？	Can  You  Be  Penalized  For  Not  Having  Health  Insurance?	不能 因 健康 保险 而 受到 惩罚
4014	life-insurance	人寿保险是否覆盖疱疹检测？	Does  Life  Insurance  Cover  Testing  For  Herpes?	人寿保险 是否 覆盖 疱疹 检测
4015	disability-insurance	什么是未来收入选择与残疾保险？	What  Is  Future  Income  Option  With  Disability  Insurance?	什么 是 未来 收入 选择 与 残疾 保险
4016	home-insurance	房主保险是否可以谈判？	Is  Homeowners  Insurance  Negotiable?	房主 保险 是否 可以 谈判
4017	annuities	年金可以每月支付吗？	Can  Annuities  Be  Paid  Monthly?	年金 可以 每月 支付
4018	annuities	什么是固定生命年金？	What  Is  A  Fixed  Life  Annuity?	什么 是 固定 生命 年金
4019	auto-insurance	法律要求汽车保险吗？	Is  Auto  Insurance  Required  By  Law?	法律 要求 汽车保险
4020	life-insurance	哪里买最好的人寿保险？	Where  To  Buy  The  Best  Life  Insurance?	哪里买 最好 人寿保险
4021	auto-insurance	汽车保险通常多少钱？	How  Much  Is  Car  Insurance  Usually?	汽车保险 通常 多少 钱
4022	auto-insurance	汽车保险公司药物检测？	Can  Car  Insurance  Companies  Drug  Test?	汽车 保险公司 药物 检测
4023	life-insurance	如何将信托命名为人寿保险的受益人？	How  To  Name  Trust  As  Beneficiary  Of  Life  Insurance?	如何 将 信托 命名 为 人寿保险 受益人
4024	home-insurance	你应该多少房主的保险？	How  Much  Homeowners  Insurance  Should  You  Carry?	你 应该 多少 房主 保险
4025	life-insurance	如果您患有糖尿病，您可以获得人身保险吗？	Can  You  Get  Life  Insurance  If  You  Are  Diabetic?	如果 您 患有 糖尿病 您 可以 获得 人身保险
4026	medicare-insurance	我在哪里得到医疗保险D部分？	Where  Do  I  Get  Medicare  Part  D?	我 在 哪里 得到 医疗保险 D 部分
4027	annuities	年金赚钱吗	Do  Annuities  Make  Money?	年金 赚钱
4028	health-insurance	Tricare Reserve是否选择健康保险？	Is  Tricare  Reserve  Select  Good  Health  Insurance?	Tricare Reserve 是否 选择 健康 保险
4029	life-insurance	COPD可以得到人寿保险吗？	Can  You  Get  Life  Insurance  With  COPD?	COPD 可以 得到 人寿保险
4030	home-insurance	家庭保险是否覆盖电视？	Does  Home  Insurance  Cover  A  Broken  TV?	家庭 保险 是否 覆盖 电视
4031	annuities	年金收入如何工作？	How  Does  Annuity  Income  Work?	年金 收入 如何 工作
4032	life-insurance	我可以用人寿保险政策的现金价值做什么？	What  Can  I  Do  With  Cash  Value  Of  Life  Insurance  Policy?	我 可以 用 人寿保险 政策 现金 价值 做 什么
4033	renters-insurance	谁有最好的租金保险？	Who  Has  The  Best  Renters  Insurance?	谁 有 最好 租金 保险
4034	medicare-insurance	什么时候我符合医疗保险？	When  Am  I  Qualified  For  Medicare?	什么 时候 我 符合 医疗保险
4035	life-insurance	为什么孩子需要人寿保险？	Why  Do  Children  Need  Life  Insurance?	为什么 孩子 需要 人寿保险
4036	life-insurance	你可以在任何人身上拿出人寿保险吗？	Can  You  Take  Out  Life  Insurance  On  Anyone?	你 可以 在 任何人 身上 拿出 人寿保险
4037	disability-insurance	私人残疾保险是否涵盖妊娠？	Does  Private  Disability  Insurance  Cover  Pregnancy?	私人 残疾 保险 是否 涵盖 妊娠
4038	auto-insurance	什么是最好和最便宜的汽车保险？	What  Is  The  Best  And  Cheapest  Car  Insurance?	什么 是 最好 和 最 便宜 汽车保险
4039	life-insurance	谁可以借用人寿保险？	Who  Can  Borrow  Against  Life  Insurance?	谁 可以 借用 人寿保险
4040	medicare-insurance	医疗保险支付胃套？	Will  Medicare  Pay  For  Gastric  Sleeve?	医疗保险 支付 胃 套
4041	retirement-plans	轮回IRA A Roth IRA？	Is  Rollover  IRA  A  Roth  IRA?	轮回 IRA A Roth IRA
4042	life-insurance	Allstate卖人寿保险？	Does  Allstate  Sell  Life  Insurance?	Allstate 卖 人寿保险
4043	medicare-insurance	你要注册多少年医疗保险？	How  Old  Do  You  Have  To  Be  To  Sign  Up  For  Medicare?	你 要 注册 多少年 医疗保险
4044	disability-insurance	我可以写下残疾保险费吗？	Can  I  Write  Off  Disability  Insurance  Premiums?	我 可以 写下 残疾 保险费
4045	auto-insurance	17岁可以获得便宜的汽车保险？	How  Can  A  17  Year  Old  Get  Cheap  Car  Insurance?	17 岁 可以 获得 便宜 汽车保险
4046	life-insurance	人寿保险如何快速付款？	How  Quickly  Does  Life  Insurance  Pay?	人寿保险 如何 快速 付款
4047	medicare-insurance	我可以得到医保罗布在线？	Can  I  Get  Medicare  EOB  Online?	我 可以 得到 医保 罗布 在线
4048	life-insurance	人寿保险可以检查病历吗？	Can  Life  Insurance  Check  Medical  Records?	人寿保险 可以 检查 病历
4049	home-insurance	房屋保险是否覆盖？	Does  Home  Owners  Insurance  Cover  Siding?	房屋 保险 是否 覆盖
4050	medicare-insurance	医疗保险支付家庭健康援助吗？	Will  Medicare  Pay  For  A  Home  Health  Aide?	医疗保险 支付 家庭 健康 援助
4051	health-insurance	如何符合健康保险资格？	How  Can  I  Qualify  For  Health  Insurance?	如何 符合 健康 保险 资格
4052	annuities	什么是年金重叠？	What  Is  Overlap  On  Annuities?	什么 是 年金 重叠
4053	life-insurance	谁能卖我的人寿保险？	Who  Can  I  Sell  My  Life  Insurance  Policy  To?	谁 能 卖 我 人寿保险
4054	life-insurance	什么公司在威斯康辛州有最便宜的人寿保险？	What  Company  Has  The  Cheapest  Life  Insurance  In  Wisconsin?	什么 公司 在 威斯康辛 州 有 最 便宜 人寿保险
4055	annuities	年金安全如何？	How  Secure  Are  Annuities?	年金 安全 如何
4056	health-insurance	健康保险费用是否会在2015年上升？	Are  Health  Insurance  Costs  Going  To  Increase  In  2015?	健康 保险费用 是否 会 在 2015年 上升
4057	auto-insurance	什么是全覆盖Geico汽车保险？	What  Is  Full  Coverage  Geico  Auto  Insurance?	什么 是 全 覆盖 Geico 汽车保险
4058	medicare-insurance	如何消除医疗保险优势？	How  To  Disenroll  From  Medicare  Advantage?	如何 消除 医疗保险 优势
4059	life-insurance	军事配偶人寿保险多少？	How  Much  Is  Military  Spouse  Life  Insurance?	军事 配偶 人寿保险 多少
4060	disability-insurance	残疾保险的平均成本是多少？	What  Is  Average  Cost  Of  Disability  Insurance?	残疾 保险 平均 成本 是 多少
4061	health-insurance	没有健康保险会有什么好处？	What  Will  The  Fine  Be  For  Not  Having  Health  Insurance?	没有 健康 保险 会 有 什么 好处
4062	life-insurance	水平期限人寿保险如何工作？	How  Does  Level  Term  Life  Insurance  Work?	水平 期限 人寿保险 如何 工作
4063	health-insurance	星巴克是否提供健康保险？	Does  Starbucks  Provide  Health  Insurance?	星巴克 是否 提供 健康 保险
4064	auto-insurance	汽车保险如何付款？	How  Is  Car  Insurance  Paid?	汽车保险 如何 付款
4065	health-insurance	健康保险是否涵盖体外？	Will  Health  Insurance  Cover  In  Vitro?	健康 保险 是否 涵盖 体外
4066	auto-insurance	你可以谈谈汽车保险吗？	Can  You  Negotiate  Car  Insurance?	你 可以 谈谈 汽车保险
4067	home-insurance	房主保险是否覆盖泄漏淋浴？	Does  Homeowners  Insurance  Cover  A  Leaking  Shower?	房主 保险 是否 覆盖 泄漏 淋浴
4068	critical-illness-insurance	严重疾病保险有多重要？	How  Important  Is  Critical  Illness  Insurance?	严重 疾病 保险 有 多 重要
4069	medicare-insurance	什么机构监督医疗保险？	What  Agency  Oversees  Medicare?	什么 机构 监督 医疗保险
4070	disability-insurance	为什么我需要残疾保险？	Why  Do  I  Need  Disability  Insurance?	为什么 我 需要 残疾 保险
4071	renters-insurance	租金保险应该多少保险？	How  Much  Should  Renters  Insurance  Cover?	租金 保险 应该 多少 保险
4072	auto-insurance	汽车保险中划分限制意味着什么？	What  Does  Split  Limits  Mean  In  Auto  Insurance?	汽车 保险中 划分 限制 意味着 什么
4073	home-insurance	房主保险在度假时遇险吗？	Does  Homeowners  Insurance  Cover  Theft  On  Vacation?	房主 保险 在 度假 时 遇险
4074	long-term-care-insurance	长期护理保险是否受到管制？	Is  Long  Term  Care  Insurance  Regulated?	长期 护理 保险 是否 受到 管制
4075	auto-insurance	汽车保险怎么办？	How  Can  I  Get  Auto  Insurance  Without  Owning  A  Car?	汽车保险 怎么办
4076	annuities	什么是紧急年金的累积期？	What  Is  The  Accumulation  Period  For  Immediate  Annuities?	什么 是 紧急 年金 累积 期
4077	health-insurance	要花多长时间才能获得健康保险卡？	How  Long  Does  It  Take  To  Get  Your  Health  Insurance  Card?	要 花 多长时间 才能 获得 健康 保险卡
4078	annuities	年金可以破产吗	Can  Annuities  Go  Bankrupt?	年金 可以 破产
4079	auto-insurance	15岁需要汽车保险吗？	Does  A  15  Year  Old  Need  Auto  Insurance?	15 岁 需要 汽车保险
4080	home-insurance	如果房主保险失败，会发生什么？	What  Happens  If  Homeowners  Insurance  Lapses?	如果 房主 保险 失败 会 发生 什么
4081	health-insurance	Obamacare好吗	Is  Obamacare  Good?	Obamacare 好
4082	life-insurance	你什么时候应该买人寿保险？	When  Should  You  Buy  Life  Insurance?	你 什么 时候 应该 买 人寿保险
4083	retirement-plans	是IRA退休计划吗？	Is  An  IRA  A  Retirement  Plan?	是 IRA 退休 计划
4084	home-insurance	谁是家庭保险公司？	Who  Is  A  Good  Home  Insurance  Company?	谁 是 家庭 保险公司
4085	home-insurance	房主保险是否覆盖失去的钻石？	Does  Homeowners  Insurance  Cover  A  Lost  Diamond?	房主 保险 是否 覆盖 失去 钻石
4086	auto-insurance	租客保险是否覆盖汽车盗窃？	Does  Renters  Insurance  Cover  Auto  Theft?	租客 保险 是否 覆盖 汽车 盗窃
4087	medicare-insurance	什么是医疗保险分成本？	What  Is  Medicare  Share  Of  Cost?	什么 是 医疗保险 分 成本
4088	auto-insurance	你能扣除汽车保险费吗？	Can  You  Deduct  Auto  Insurance  Premiums?	你 能 扣除 汽车 保险费
4089	life-insurance	人寿保险政策的百分比无人认领？	What  Percentage  Of  Life  Insurance  Policies  Go  Unclaimed?	人寿保险 政策 百分比 无人认领
4090	health-insurance	什么是廉价健康保险计划？	What  Is  A  Good  Cheap  Health  Insurance  Plan?	什么 是 廉价 健康 保险 计划
4091	medicare-insurance	如何注册医疗保险在65？	How  To  Register  For  Medicare  At  65?	如何 注册 医疗保险 在 65
4092	annuities	为什么可变年金好？	Why  Are  Variable  Annuities  Good?	为什么 可变 年金 好
4093	annuities	平均年金回报是多少？	What  Is  The  Average  Return  On  Annuities?	平均 年金 回报 是 多少
4094	medicare-insurance	维生素D检测是由Medicare覆盖吗？	Is  Vitamin  D  Testing  Covered  By  Medicare?	维生素 D 检测 是 由 Medicare 覆盖
4095	renters-insurance	何时获得租赁保险？	When  To  Get  Renters  Insurance?	何时 获得 租赁 保险
4096	life-insurance	谁能成为我的人寿保险受益人？	Who  Can  Be  My  Life  Insurance  Beneficiary?	谁 能 成为 我 人寿保险 受益人
4097	auto-insurance	没有有效的驾照吗？	Can  I  Get  Car  Insurance  Without  A  Valid  Driver  License?	没有 有效 驾照
4098	medicare-insurance	什么是医疗保险补贴计划N封面？	What  Does  Medicare  Supplement  Plan  N  Cover?	什么 是 医疗保险 补贴 计划 N 封面
4099	medicare-insurance	什么是Medigap计划C？	What  Is  Medigap  Plan  C?	什么 是 Medigap 计划 C
4100	long-term-care-insurance	长期护理保险有多长时间？	How  Long  Has  Long  Term  Care  Insurance  Been  Available?	长期 护理 保险 有 多长时间
4101	home-insurance	如果我不能得到家庭保险怎么办？	What  To  Do  If  I  Can't  Get  Home  Insurance?	如果 我 不能 得到 家庭 保险 怎么办
4102	life-insurance	人寿保险与现金价值工作如何？	How  Does  Life  Insurance  With  Cash  Value  Work?	人寿保险 与 现金 价值 工作 如何
4103	medicare-insurance	妊娠由Medicare覆盖吗？	Is  Pregnancy  Covered  By  Medicare?	妊娠 由 Medicare 覆盖
4104	home-insurance	房主保险是否覆盖死亡？	Does  Homeowners  Insurance  Cover  Death?	房主 保险 是否 覆盖 死亡
4105	auto-insurance	空中保险在汽车上占有什么？	What  Does  Gap  Insurance  Cover  On  A  Car?	空中 保险 在 汽车 上 占有 什么
4106	annuities	如何计算递延年金？	How  To  Calculate  A  Deferred  Annuity?	如何 计算 递延 年金
4107	health-insurance	你可以在怀孕期间切换健康保险吗？	Can  You  Switch  Health  Insurance  During  Pregnancy?	你 可以 在 怀孕期 间 切换 健康 保险
4108	life-insurance	GMAC有人寿保险吗？	Does  GMAC  Have  Life  Insurance?	GMAC 有 人寿保险
4109	medicare-insurance	可以随时注册医疗保险B部分？	Can  I  Enroll  In  Medicare  Part  B  Anytime?	可以 随时 注册 医疗保险 B 部分
4110	auto-insurance	汽车保险可以重叠吗？	Can  Car  Insurance  Overlap?	汽车保险 可以 重叠
4111	auto-insurance	汽车保险公司如果在遇难事故中遭受伤害的话，会受伤？	Which  Auto  Insurance  Company  Pays  For  Injuries  If  you  Are  Injured  In  An  Accident  As  A  Passenger?	汽车 保险公司 如果 在 遇难 事故 中 遭受 伤害 话 会 受伤
4112	home-insurance	是否轻易切换业主保险？	Is  It  Easy  To  Switch  Homeowners  Insurance?	是否 轻易 切换 业主 保险
4113	retirement-plans	罗斯IRA分配是否影响社会保障？	Does  Roth  IRA  Distributions  Affect  Social  Security?	罗斯 IRA 分配 是 否 影响 社会保障
4114	medicare-insurance	是否有Medigap入学期？	Is  There  An  Enrollment  Period  For  Medigap?	是否 有 Medigap 入 学期
4115	life-insurance	地球人寿保险有多好？	How  Good  Is  Globe  Life  Insurance?	地球 人寿 保险 有 多 好
4116	disability-insurance	人寿是否涵盖长期残疾？	Does  Life  Insurance  Cover  Long  Term  Disability?	人寿 是否 涵盖 长期 残疾
4117	renters-insurance	租客保险是否涵盖火灾伤害？	Does  Renters  Insurance  Cover  Fire  Damage?	租客 保险 是否 涵盖 火灾 伤害
4118	retirement-plans	基督徒有特殊退休计划公司吗？	Are  There  Special  Retirement  Planning  Companies  For  Christians?	基督徒 有 特殊 退休 计划 公司
4119	health-insurance	健康保险如何开放注册工作？	How  Does  Health  Insurance  Open  Enrollment  Work?	健康 保险 如何 开放注册 工作
4120	auto-insurance	谁能对我的汽车保险政策？	Who  Can  Be  On  My  Auto  Insurance  Policy?	谁 能 对 我 汽车保险 政策
4121	retirement-plans	401K是否合格退休计划？	Is  A  401K  A  Qualified  Retirement  Plan?	401 K 是否 合格 退休 计划
4122	life-insurance	期限寿险是最昂贵的吗？	Is  Term  Life  Insurance  The  Most  Expensive?	期限 寿险 是 最 昂贵
4123	auto-insurance	女性汽车保险何时下跌？	When  Does  Female  Car  Insurance  Go  Down?	女性 汽车保险 何时 下跌
4124	health-insurance	如何找到健康保险？	How  To  Find  Health  Insurance?	如何 找到 健康 保险
4125	home-insurance	如何获得房主保险贴心？	How  To  Get  A  Homeowners  Insurance  Binder?	如何 获得 房主 保险 贴心
4126	health-insurance	健康保险是权利还是权利？	Is  Health  Insurance  A  Right  Or  Privilege?	健康 保险 是 权利 还是 权利
4127	medicare-insurance	医疗保险支付血液工作吗	Does  Medicare  Pay  For  Blood  Work?	医疗保险 支付 血液 工作
4128	long-term-care-insurance	长期护理保险需要身体素质吗？	Is  A  Physical  Required  For  Long  Term  Care  Insurance?	长期 护理 保险 需要 身体素质
4129	medicare-insurance	医疗保险C部分如何融资？	How  Is  Medicare  Part  C  Financed?	医疗保险 C 部分 如何 融资
4130	medicare-insurance	医疗保险B部分超额收费？	Medicare  Part  B  Excess  Charges?	医疗保险 B 部分 超额 收费
4131	retirement-plans	自雇计划如何退休？	How  To  Plan  For  Retirement  If  Self  Employed?	自雇 计划 如何 退休
4132	disability-insurance	哪里可以买短期残疾保险？	Where  Can  I  Buy  Short  Term  Disability  Insurance?	哪里 可以 买 短期 残疾 保险
4133	home-insurance	家庭保险是否覆盖了Iphone？	Does  Home  Insurance  Cover  Iphones?	家庭 保险 是否 覆盖 Iphone
4134	home-insurance	健康保险是否支付护理家庭护理？	Does  Health  Insurance  Pay  For  Nursing  Home  Care?	健康 保险 是否 支付 护理 家庭 护理
4135	home-insurance	受房主保险覆盖的风险是多少？	Is  Wind  Damage  Covered  By  Homeowners  Insurance?	受 房主 保险 覆盖 风险 是 多少
4136	life-insurance	人寿保险应纳税利息？	Is  Interest  Earned  On  A  Life  Insurance  Policy  Taxable?	人寿保险 应纳税 利息
4137	retirement-plans	为什么要把我的IRA转换成Roth？	Why  Should  I  Convert  My  IRA  To  A  Roth?	为什么 要 把 我 IRA 转换成 Roth
4138	home-insurance	家庭保险是否覆盖窗口泄漏？	Does  Home  Insurance  Cover  Window  Leaks?	家庭 保险 是否 覆盖 窗口 泄漏
4139	retirement-plans	退休计划有什么意思？	What  Does  It  Mean  When  A  Retirement  Plan  Is  Vested?	退休 计划 有 什么 意思
4140	health-insurance	健康保险中ASO意味着什么？	What  Does  ASO  Mean  In  Health  Insurance?	健康 保险中 ASO 意味着 什么
4141	disability-insurance	残疾保险如何为怀孕工作？	How  Does  Disability  Insurance  Work  For  Pregnancy?	残疾 保险 如何 为 怀孕 工作
4142	medicare-insurance	谁能符合Medigap的覆盖范围？	Who  Is  Eligible  For  Medigap  Coverage?	谁 能 符合 Medigap 覆盖范围
4143	medicare-insurance	医疗保险部分J是什么？	What  Does  Medicare  Part  J  Cover?	医疗保险 部分 J 是 什么
4144	life-insurance	购买人寿时我应该问什么问题？	What  Questions  Should  I  Ask  When  Buying  Life  Insurance?	购买人 寿 时 我 应该 问 什么 问题
4145	life-insurance	我如何知道如果我需要人寿保险？	How  Do  I  Know  If  I  Need  Life  Insurance?	我 如何 知道 如果 我 需要 人寿保险
4146	health-insurance	哪些健康保险计划涵盖产假？	Which  Health  Insurance  Plans  Cover  Maternity?	哪些 健康 保险 计划 涵盖 产假
4147	life-insurance	人寿保险有多好？	How  Good  Is  Life  Insurance?	人寿保险 有 多 好
4148	life-insurance	谁是森林人寿保险？	Who  Is  Foresters  Life  Insurance?	谁 是 森林 人寿保险
4149	health-insurance	你可以在国家之外使用你的健康保险吗？	Can  You  Use  Your  Health  Insurance  Out  Of  State?	你 可以 在 国家 之外 使用 你 健康 保险
4150	medicare-insurance	什么是医疗保险B部分？	What's  Medicare  Part  B?	什么 是 医疗保险 B 部分
4151	annuities	如何评估年金？	How  To  Evaluate  Annuities?	如何 评估 年金
4152	home-insurance	明尼苏达州需要多少房主保险？	How  Much  Homeowners  Insurance  Do  I  Need  In  Minnesota?	明尼苏达州 需要 多少 房主 保险
4153	auto-insurance	汽车的颜色会影响保险吗？	Does  The  Color  Of  A  Car  Affect  The  Insurance?	汽车 颜色 会 影响 保险
4154	disability-insurance	什么公司提供残疾保险？	What  Companies  Provide  Disability  Insurance?	什么 公司 提供 残疾 保险
4155	health-insurance	谁是私人健康保险？	Who  Is  Private  Health  Insurance  Available  To?	谁 是 私人 健康 保险
4156	annuities	谁承担变动年金的投资风险？	Who  Bears  The  Investment  Risk  In  A  Variable  Annuity?	谁 承担 变动 年金 投资 风险
4157	long-term-care-insurance	长期护理保险是否涵盖辅助生活费用？	Does  Long  Term  Care  Insurance  Cover  Assisted  Living  Costs?	长期 护理 保险 是否 涵盖 辅助 生活费用
4158	life-insurance	人寿被拒绝的原因是什么？	What  Are  Some  Reasons  Why  Life  Insurance  Is  Denied?	人寿 被 拒绝 原因 是 什么
4159	life-insurance	需要多长时间才能进行人寿保险检查？	How  Long  Does  It  Take  To  Get  A  Life  Insurance  Check?	需要 多长时间 才能 进行 人寿保险 检查
4160	medicare-insurance	医保补充保险如何工作？	How  Does  Medicare  Supplemental  Insurance  Work?	医保 补充 保险 如何 工作
4161	home-insurance	什么狗品种提高房主保险？	What  Dog  Breeds  Raise  Homeowners  Insurance?	什么 狗 品种 提高 房主 保险
4162	long-term-care-insurance	什么是最佳年龄购买长期护理保险？	What  Is  Best  Age  To  Buy  Long  Term  Care  Insurance?	什么 是 最佳 年龄 购买 长期 护理 保险
4163	life-insurance	如果你是双极的，你能得到人寿保险吗？	Can  You  Get  Life  Insurance  If  You  Are  Bipolar?	如果 你 是 双极 你 能 得到 人寿保险
4164	health-insurance	健康保险如何影响经济？	How  Does  Health  Insurance  Affect  The  Economy?	健康 保险 如何 影响 经济
4165	renters-insurance	如何增加租金保险进度？	How  To  Add  Renters  Insurance  To  Progressive?	如何 增加 租金 保险 进度
4166	life-insurance	人寿保险是否用于支付已故人士的账单？	Does  Life  Insurance  Have  To  Be  Used  To  Pay  A  Deceased  Person'S  Bills?	人寿保险 是否 用于 支付 已故 人士 账单
4167	disability-insurance	集团残疾保险如何运作？	How  Does  Group  Disability  Insurance  Work?	集团 残疾 保险 如何 运作
4168	disability-insurance	残疾保险是否覆盖床位？	Does  Disability  Insurance  Cover  Bed  Rest?	残疾 保险 是否 覆盖 床位
4169	health-insurance	健康保险公司可以拒绝吗？	What  Can  Health  Insurance  Companies  Deny  Coverage  For?	健康 保险公司 可以 拒绝
4170	home-insurance	房主保险是否覆盖主漏？	Does  Homeowners  Insurance  Cover  Water  Main  Leaks?	房主 保险 是否 覆盖 主 漏
4171	health-insurance	什么是最负担得起的健康保险？	What  Is  The  Most  Affordable  Health  Insurance?	什么 是 最 负担得起 健康 保险
4172	annuities	年金应该如何纳税？	How  Should  Annuities  Be  Taxed?	年金 应该 如何 纳税
4173	health-insurance	罗格斯健康保险涵盖什么？	What  Does  Rutgers  Health  Insurance  Cover?	罗格斯 健康 保险 涵盖 什么
4174	renters-insurance	商业租赁保险多少？	How  Much  Is  Commercial  Renters  Insurance?	商业 租赁 保险 多少
4175	medicare-insurance	医疗保险从我的生日开始吗	Does  Medicare  Start  On  My  Birthday?	医疗保险 从 我 生日 开始
4176	long-term-care-insurance	何时取得长期护理保险？	When  To  Take  Out  Long  Term  Care  Insurance?	何时 取得 长期 护理 保险
